2020-05-01 18:23:44,816 :: INFO :: Human in (19, 16)
2020-05-01 18:23:44,816 :: INFO :: Human in (23, 0)
2020-05-01 18:23:44,816 :: INFO :: Human in (15, 9)
2020-05-01 18:23:44,816 :: INFO :: Human in (0, 2)
2020-05-01 18:23:44,816 :: INFO :: Human in (14, 4)
2020-05-01 18:23:44,816 :: INFO :: Human in (3, 33)
2020-05-01 18:23:44,817 :: INFO :: Human in (26, 13)
2020-05-01 18:23:44,817 :: INFO :: Human in (6, 4)
2020-05-01 18:23:44,817 :: INFO :: Human in (12, 20)
2020-05-01 18:23:44,817 :: INFO :: Human in (2, 34)
2020-05-01 18:23:44,817 :: INFO :: Human in (32, 30)
2020-05-01 18:23:44,817 :: INFO :: Human in (14, 7)
2020-05-01 18:23:44,817 :: INFO :: Human in (26, 7)
2020-05-01 18:23:44,818 :: INFO :: Human in (17, 7)
2020-05-01 18:23:44,818 :: INFO :: Human in (7, 5)
2020-05-01 18:23:44,818 :: INFO :: Human in (21, 14)
2020-05-01 18:23:44,818 :: INFO :: Human in (21, 25)
2020-05-01 18:23:44,818 :: INFO :: Human in (19, 11)
2020-05-01 18:23:44,818 :: INFO :: Human in (27, 25)
2020-05-01 18:23:44,819 :: INFO :: Human in (29, 18)
2020-05-01 18:23:44,819 :: INFO :: Human in (6, 28)
2020-05-01 18:23:44,819 :: INFO :: Human in (29, 11)
2020-05-01 18:23:44,819 :: INFO :: Human in (9, 27)
2020-05-01 18:23:44,819 :: INFO :: Human in (32, 26)
2020-05-01 18:23:44,820 :: INFO :: Human in (2, 13)
2020-05-01 18:23:44,820 :: INFO :: Human in (33, 31)
2020-05-01 18:23:44,820 :: INFO :: Human in (4, 7)
2020-05-01 18:23:44,820 :: INFO :: Human in (5, 28)
2020-05-01 18:23:44,821 :: INFO :: Hospital in (8, 23)
2020-05-01 18:23:44,821 :: INFO :: Hospital in (27, 11)
2020-05-01 18:23:44,821 :: INFO :: Hospital in (22, 30)
2020-05-01 18:23:44,821 :: INFO :: Hospital in (24, 18)
2020-05-01 18:23:44,821 :: INFO :: Hospital in (28, 5)
2020-05-01 18:23:44,822 :: INFO :: Hospital in (9, 34)
2020-05-01 18:23:44,822 :: INFO :: Hospital in (34, 26)
2020-05-01 18:23:44,822 :: INFO :: Hospital in (18, 33)
2020-05-01 18:23:44,822 :: INFO :: Hospital in (1, 23)
2020-05-01 18:23:44,822 :: INFO :: Hospital in (12, 27)
2020-05-01 18:23:45,570 :: INFO :: **** Iteration #1 ****
2020-05-01 18:23:45,792 :: INFO :: **** Iteration #2 ****
2020-05-01 18:23:45,982 :: INFO :: **** Iteration #3 ****
2020-05-01 18:23:46,349 :: INFO :: **** Iteration #4 ****
2020-05-01 18:23:46,514 :: INFO :: **** Iteration #5 ****
2020-05-01 18:23:46,680 :: INFO :: **** Iteration #6 ****
2020-05-01 18:23:46,828 :: INFO :: **** Iteration #7 ****
2020-05-01 18:23:46,982 :: INFO :: **** Iteration #8 ****
2020-05-01 18:23:47,129 :: INFO :: **** Iteration #9 ****
2020-05-01 18:23:47,273 :: INFO :: **** Iteration #10 ****
2020-05-01 18:23:47,424 :: INFO :: **** Iteration #11 ****
2020-05-01 18:23:47,585 :: INFO :: **** Iteration #12 ****
2020-05-01 18:23:47,876 :: INFO :: **** Iteration #13 ****
2020-05-01 18:23:48,022 :: INFO :: **** Iteration #14 ****
2020-05-01 18:23:48,166 :: INFO :: **** Iteration #15 ****
2020-05-01 18:23:48,318 :: INFO :: **** Iteration #16 ****
2020-05-01 18:23:48,469 :: INFO :: **** Iteration #17 ****
2020-05-01 18:23:48,629 :: INFO :: **** Iteration #18 ****
2020-05-01 18:23:48,785 :: INFO :: **** Iteration #19 ****
2020-05-01 18:23:48,931 :: INFO :: **** Iteration #20 ****
2020-05-01 18:23:49,072 :: INFO :: **** Iteration #21 ****
2020-05-01 18:23:49,243 :: INFO :: **** Iteration #22 ****
2020-05-01 18:23:49,403 :: INFO :: **** Iteration #23 ****
2020-05-01 18:23:49,569 :: INFO :: **** Iteration #24 ****
2020-05-01 18:23:49,730 :: INFO :: **** Iteration #25 ****
2020-05-01 18:23:49,896 :: INFO :: **** Iteration #26 ****
2020-05-01 18:23:50,051 :: INFO :: **** Iteration #27 ****
2020-05-01 18:23:50,217 :: INFO :: **** Iteration #28 ****
2020-05-01 18:23:50,353 :: INFO :: **** Iteration #29 ****
2020-05-01 18:23:50,498 :: INFO :: **** Iteration #30 ****
2020-05-01 18:23:50,503 :: INFO :: [STOP] Maximum iterations reached (30)
2020-05-01 18:33:09,492 :: INFO :: **** INITIALIZATION ****
2020-05-01 18:33:09,492 :: INFO :: Human in (23, 12)
2020-05-01 18:33:09,493 :: INFO :: Human in (16, 19)
2020-05-01 18:33:09,493 :: INFO :: Human in (34, 8)
2020-05-01 18:33:09,493 :: INFO :: Human in (16, 28)
2020-05-01 18:33:09,493 :: INFO :: Human in (3, 28)
2020-05-01 18:33:09,493 :: INFO :: Human in (16, 10)
2020-05-01 18:33:09,494 :: INFO :: Human in (10, 10)
2020-05-01 18:33:09,494 :: INFO :: Human in (0, 8)
2020-05-01 18:33:09,494 :: INFO :: Human in (24, 3)
2020-05-01 18:33:09,494 :: INFO :: Human in (16, 11)
2020-05-01 18:33:09,494 :: INFO :: Human in (12, 18)
2020-05-01 18:33:09,494 :: INFO :: Human in (8, 30)
2020-05-01 18:33:09,495 :: INFO :: Human in (19, 8)
2020-05-01 18:33:09,495 :: INFO :: Human in (27, 21)
2020-05-01 18:33:09,495 :: INFO :: Human in (1, 33)
2020-05-01 18:33:09,495 :: INFO :: Human in (11, 2)
2020-05-01 18:33:09,495 :: INFO :: Human in (14, 16)
2020-05-01 18:33:09,496 :: INFO :: Human in (30, 33)
2020-05-01 18:33:09,496 :: INFO :: Human in (9, 0)
2020-05-01 18:33:09,496 :: INFO :: Human in (10, 21)
2020-05-01 18:33:09,496 :: INFO :: Human in (7, 19)
2020-05-01 18:33:09,496 :: INFO :: Human in (17, 26)
2020-05-01 18:33:09,497 :: INFO :: Human in (9, 13)
2020-05-01 18:33:09,497 :: INFO :: Human in (13, 21)
2020-05-01 18:33:09,497 :: INFO :: Human in (20, 18)
2020-05-01 18:33:09,497 :: INFO :: Human in (34, 9)
2020-05-01 18:33:09,497 :: INFO :: Human in (32, 22)
2020-05-01 18:33:09,497 :: INFO :: Human in (7, 13)
2020-05-01 18:33:09,498 :: INFO :: Human in (5, 8)
2020-05-01 18:33:09,498 :: INFO :: Human in (12, 19)
2020-05-01 18:33:09,498 :: INFO :: Human in (32, 25)
2020-05-01 18:33:09,498 :: INFO :: Human in (28, 23)
2020-05-01 18:33:09,498 :: INFO :: Human in (32, 10)
2020-05-01 18:33:09,499 :: INFO :: Human in (2, 11)
2020-05-01 18:33:09,499 :: INFO :: Human in (15, 32)
2020-05-01 18:33:09,499 :: INFO :: Human in (11, 29)
2020-05-01 18:33:09,499 :: INFO :: Human in (16, 0)
2020-05-01 18:33:09,499 :: INFO :: Human in (22, 12)
2020-05-01 18:33:09,499 :: INFO :: Human in (22, 3)
2020-05-01 18:33:09,500 :: INFO :: Human in (33, 33)
2020-05-01 18:33:09,500 :: INFO :: Human in (30, 13)
2020-05-01 18:33:09,500 :: INFO :: Human in (23, 2)
2020-05-01 18:33:09,500 :: INFO :: Human in (0, 1)
2020-05-01 18:33:09,500 :: INFO :: Human in (6, 33)
2020-05-01 18:33:09,501 :: INFO :: Human in (7, 12)
2020-05-01 18:33:09,501 :: INFO :: Human in (5, 31)
2020-05-01 18:33:09,501 :: INFO :: Human in (16, 32)
2020-05-01 18:33:09,501 :: INFO :: Human in (30, 18)
2020-05-01 18:33:09,501 :: INFO :: Human in (24, 7)
2020-05-01 18:33:09,502 :: INFO :: Human in (30, 6)
2020-05-01 18:33:09,502 :: INFO :: Human in (8, 27)
2020-05-01 18:33:09,502 :: INFO :: Human in (26, 3)
2020-05-01 18:33:09,502 :: INFO :: Human in (32, 34)
2020-05-01 18:33:09,502 :: INFO :: Human in (29, 5)
2020-05-01 18:33:09,502 :: INFO :: Human in (23, 9)
2020-05-01 18:33:09,503 :: INFO :: Human in (20, 31)
2020-05-01 18:33:09,503 :: INFO :: Human in (6, 1)
2020-05-01 18:33:09,503 :: INFO :: Human in (24, 29)
2020-05-01 18:33:09,503 :: INFO :: Human in (4, 24)
2020-05-01 18:33:09,503 :: INFO :: Human in (25, 18)
2020-05-01 18:33:09,504 :: INFO :: Human in (7, 5)
2020-05-01 18:33:09,504 :: INFO :: Human in (12, 16)
2020-05-01 18:33:09,504 :: INFO :: Human in (16, 16)
2020-05-01 18:33:09,504 :: INFO :: Human in (3, 25)
2020-05-01 18:33:09,504 :: INFO :: Human in (32, 1)
2020-05-01 18:33:09,505 :: INFO :: Human in (0, 2)
2020-05-01 18:33:09,505 :: INFO :: Human in (22, 15)
2020-05-01 18:33:09,505 :: INFO :: Human in (29, 2)
2020-05-01 18:33:09,505 :: INFO :: Human in (22, 0)
2020-05-01 18:33:09,505 :: INFO :: Human in (27, 14)
2020-05-01 18:33:09,505 :: INFO :: Human in (27, 6)
2020-05-01 18:33:09,506 :: INFO :: Human in (17, 3)
2020-05-01 18:33:09,506 :: INFO :: Human in (11, 3)
2020-05-01 18:33:09,506 :: INFO :: Human in (10, 31)
2020-05-01 18:33:09,506 :: INFO :: Human in (14, 17)
2020-05-01 18:33:09,506 :: INFO :: Human in (34, 6)
2020-05-01 18:33:09,507 :: INFO :: Human in (22, 21)
2020-05-01 18:33:09,507 :: INFO :: Human in (26, 21)
2020-05-01 18:33:09,507 :: INFO :: Human in (32, 15)
2020-05-01 18:33:09,507 :: INFO :: Human in (19, 4)
2020-05-01 18:33:09,507 :: INFO :: Human in (29, 20)
2020-05-01 18:33:09,508 :: INFO :: Human in (4, 8)
2020-05-01 18:33:09,508 :: INFO :: Human in (18, 26)
2020-05-01 18:33:09,508 :: INFO :: Human in (5, 17)
2020-05-01 18:33:09,508 :: INFO :: Human in (9, 32)
2020-05-01 18:33:09,508 :: INFO :: Human in (10, 19)
2020-05-01 18:33:09,508 :: INFO :: Human in (2, 30)
